0.523541	1950.00	
0.523633	525.00	l
0.713402	1650.00	r
0.933601	1734.00	f
1.243601	1881.00	l
1.523602	1940.00	
1.713495	1650.00	r
1.933611	1734.00	f
2.243546	1695.00	l
2.523625	1851.00	
2.713407	1650.00	r
2.933693	1734.00	f
3.243624	1695.00	l
3.523624	1734.00	
3.71342	1300.00	r
3.934143	1734.00	f
4.2439	1170.00	l
4.523664	1695.00	
4.713495	1073.00	r
4.935257	1734.00	f
5.245005	1008.00	l
5.524715	1695.00	
5.714474	422.00	r
5.934401	1734.00	f
6.245151	540.00	l
6.524612	1656.00	
6.714478	422.00	r
6.934374	1734.00	f
7.245174	540.00	l
7.524625	1602.00	
7.724539	422.00	r
7.934482	1734.00	f
8.245896	540.00	l
8.534569	1600.00	
8.724494	0.00	r
8.944409	1734.00	f
